Move_1,Move_2,Move_3,Move_4,Move_5,Move_6,Move_7,Move_8,Move_9,Move_10,Move_11,Move_12,Move_13,Move_14,Move_15,Move_16,Move_17,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Score_11,Score_12,Score_13,Score_14,Score_15,Score_16,Score_17,8 <-> 4,6 <-> 5,2 <-> 3,12 <-> 8,7 <-> 3,None,None,None,None,None,None,None,None,None,None,None,None,32,32,39,47,56,None,None,None,None,None,None,None,None,None,None,None,None
9 <-> 10,11 <-> 7,2 <-> 1,10 <-> 11,14 <-> 13,,,,,,,,,,,,,30,35,37,42,71,,,,,,,,,,,,
12 <-> 8,8 <-> 4,7 <-> 6,14 <-> 13,6 <-> 5,,,,,,,,,,,,,35,41,43,45,52,,,,,,,,,,,,
7 <-> 3,13 <-> 12,2 <-> 1,4 <-> 1,8 <-> 4,,,,,,,,,,,,,37,41,52,66,68,,,,,,,,,,,,
10 <-> 11,14 <-> 13,2 <-> 1,7 <-> 3,6 <-> 5,,,,,,,,,,,,,30,32,33,50,70,,,,,,,,,,,,
9 <-> 12,13 <-> 12,6 <-> 5,9 <-> 10,8 <-> 4,,,,,,,,,,,,,32,39,39,40,82,,,,,,,,,,,,
9 <-> 12,14 <-> 13,5 <-> 9,4 <-> 5,12 <-> 8,,,,,,,,,,,,,32,35,35,36,80,,,,,,,,,,,,
9 <-> 12,11 <-> 7,2 <-> 1,13 <-> 12,5 <-> 9,,,,,,,,,,,,,32,37,38,53,89,,,,,,,,,,,,
9 <-> 10,9 <-> 12,8 <-> 4,14 <-> 13,6 <-> 5,,,,,,,,,,,,,30,32,39,71,73,,,,,,,,,,,,
13 <-> 12,2 <-> 3,8 <-> 4,2 <-> 1,14 <-> 13,,,,,,,,,,,,,35,37,42,47,53,,,,,,,,,,,,
11 <-> 7,9 <-> 12,7 <-> 3,4 <-> 1,7 <-> 6,,,,,,,,,,,,,32,37,46,68,92,,,,,,,,,,,,
14 <-> 13,6 <-> 5,9 <-> 12,10 <-> 11,9 <-> 10,,,,,,,,,,,,,32,32,36,51,67,,,,,,,,,,,,
None <-> None,14 <-> 13,7 <-> 6,7 <-> 3,5 <-> 9,,,,,,,,,,,,,30,32,34,51,54,,,,,,,,,,,,
12 <-> 8,9 <-> 10,2 <-> 1,11 <-> 7,7 <-> 3,,,,,,,,,,,,,35,35,37,42,59,,,,,,,,,,,,
9 <-> 10,10 <-> 11,7 <-> 6,4 <-> 1,12 <-> 8,,,,,,,,,,,,,30,32,38,48,52,,,,,,,,,,,,
9 <-> 12,6 <-> 5,10 <-> 11,12 <-> 8,5 <-> 9,,,,,,,,,,,,,32,34,39,49,54,,,,,,,,,,,,
5 <-> 9,12 <-> 8,10 <-> 11,4 <-> 5,2 <-> 1,,,,,,,,,,,,,30,37,41,43,69,,,,,,,,,,,,
12 <-> 8,8 <-> 4,7 <-> 3,6 <-> 5,4 <-> 1,,,,,,,,,,,,,35,41,51,53,72,,,,,,,,,,,,
None <-> None,8 <-> 4,9 <-> 12,9 <-> 10,10 <-> 14,,,,,,,,,,,,,30,34,39,41,55,,,,,,,,,,,,
2 <-> 3,10 <-> 11,7 <-> 6,13 <-> 12,12 <-> 8,,,,,,,,,,,,,32,34,69,72,76,,,,,,,,,,,,
9 <-> 10,14 <-> 13,11 <-> 7,7 <-> 6,7 <-> 3,,,,,,,,,,,,,30,32,71,73,90,,,,,,,,,,,,
11 <-> 7,9 <-> 12,10 <-> 14,7 <-> 6,13 <-> 12,,,,,,,,,,,,,32,37,40,55,74,,,,,,,,,,,,
2 <-> 3,4 <-> 1,10 <-> 11,8 <-> 4,11 <-> 7,,,,,,,,,,,,,32,52,52,54,63,,,,,,,,,,,,
12 <-> 8,4 <-> 5,4 <-> 1,2 <-> 3,13 <-> 12,,,,,,,,,,,,,35,38,55,77,82,,,,,,,,,,,,
10 <-> 11,7 <-> 6,9 <-> 10,9 <-> 12,11 <-> 7,,,,,,,,,,,,,30,36,38,44,53,,,,,,,,,,,,
7 <-> 6,12 <-> 8,2 <-> 3,9 <-> 10,6 <-> 5,,,,,,,,,,,,,32,37,46,47,51,,,,,,,,,,,,
8 <-> 4,2 <-> 3,4 <-> 1,7 <-> 6,14 <-> 13,,,,,,,,,,,,,32,37,54,56,58,,,,,,,,,,,,
14 <-> 13,7 <-> 3,4 <-> 1,5 <-> 9,10 <-> 14,,,,,,,,,,,,,32,38,63,63,77,,,,,,,,,,,,
2 <-> 3,7 <-> 6,10 <-> 14,14 <-> 13,4 <-> 1,,,,,,,,,,,,,32,38,40,52,70,,,,,,,,,,,,
7 <-> 6,11 <-> 7,2 <-> 1,7 <-> 3,8 <-> 4,,,,,,,,,,,,,32,41,70,87,88,,,,,,,,,,,,
2 <-> 3,10 <-> 11,13 <-> 12,8 <-> 4,10 <-> 14,,,,,,,,,,,,,32,34,39,42,62,,,,,,,,,,,,
9 <-> 10,11 <-> 7,13 <-> 12,8 <-> 4,9 <-> 12,,,,,,,,,,,,,30,35,80,82,84,,,,,,,,,,,,
7 <-> 6,12 <-> 8,11 <-> 7,6 <-> 5,7 <-> 3,,,,,,,,,,,,,32,37,42,48,90,,,,,,,,,,,,
7 <-> 3,2 <-> 1,9 <-> 12,4 <-> 1,13 <-> 12,,,,,,,,,,,,,37,47,49,63,68,,,,,,,,,,,,
8 <-> 4,7 <-> 6,4 <-> 5,7 <-> 3,14 <-> 13,,,,,,,,,,,,,32,34,36,79,81,,,,,,,,,,,,
10 <-> 11,2 <-> 3,8 <-> 4,13 <-> 12,11 <-> 7,,,,,,,,,,,,,30,34,37,42,51,,,,,,,,,,,,
9 <-> 12,4 <-> 1,7 <-> 3,12 <-> 8,6 <-> 5,,,,,,,,,,,,,32,33,63,68,78,,,,,,,,,,,,
14 <-> 13,7 <-> 6,10 <-> 11,2 <-> 1,2 <-> 3,,,,,,,,,,,,,32,34,38,62,70,,,,,,,,,,,,
5 <-> 9,9 <-> 12,9 <-> 10,7 <-> 6,2 <-> 1,,,,,,,,,,,,,30,32,39,44,45,,,,,,,,,,,,
10 <-> 11,7 <-> 6,2 <-> 1,11 <-> 7,9 <-> 12,,,,,,,,,,,,,30,36,61,70,75,,,,,,,,,,,,
13 <-> 12,11 <-> 7,8 <-> 4,5 <-> 9,12 <-> 8,,,,,,,,,,,,,35,37,39,39,48,,,,,,,,,,,,
7 <-> 3,13 <-> 12,12 <-> 8,14 <-> 13,8 <-> 4,,,,,,,,,,,,,37,41,50,56,62,,,,,,,,,,,,
14 <-> 13,7 <-> 6,5 <-> 9,6 <-> 5,4 <-> 5,,,,,,,,,,,,,32,34,37,43,57,,,,,,,,,,,,
11 <-> 7,9 <-> 10,6 <-> 5,10 <-> 14,7 <-> 6,,,,,,,,,,,,,32,35,39,55,64,,,,,,,,,,,,
13 <-> 12,7 <-> 3,7 <-> 6,2 <-> 1,10 <-> 11,,,,,,,,,,,,,35,41,45,54,81,,,,,,,,,,,,
13 <-> 12,7 <-> 3,10 <-> 14,11 <-> 7,4 <-> 1,,,,,,,,,,,,,35,41,61,64,88,,,,,,,,,,,,
13 <-> 12,14 <-> 13,7 <-> 6,11 <-> 7,4 <-> 1,,,,,,,,,,,,,35,41,43,49,59,,,,,,,,,,,,
9 <-> 10,9 <-> 12,7 <-> 3,12 <-> 8,2 <-> 1,,,,,,,,,,,,,30,32,38,56,58,,,,,,,,,,,,
8 <-> 4,13 <-> 12,11 <-> 7,9 <-> 12,7 <-> 3,,,,,,,,,,,,,32,37,39,84,91,,,,,,,,,,,,
9 <-> 10,4 <-> 1,5 <-> 9,9 <-> 12,14 <-> 13,,,,,,,,,,,,,30,30,30,39,43,,,,,,,,,,,,
12 <-> 8,8 <-> 4,6 <-> 5,7 <-> 3,13 <-> 12,,,,,,,,,,,,,35,41,41,53,56,,,,,,,,,,,,
11 <-> 7,9 <-> 10,7 <-> 3,2 <-> 3,14 <-> 13,,,,,,,,,,,,,32,35,45,49,82,,,,,,,,,,,,
9 <-> 12,11 <-> 7,10 <-> 14,6 <-> 5,5 <-> 9,,,,,,,,,,,,,32,37,40,50,66,,,,,,,,,,,,
14 <-> 13,9 <-> 12,10 <-> 14,4 <-> 1,4 <-> 5,,,,,,,,,,,,,32,35,48,49,55,,,,,,,,,,,,
13 <-> 12,11 <-> 7,2 <-> 1,4 <-> 1,8 <-> 4,,,,,,,,,,,,,35,37,39,51,53,,,,,,,,,,,,
9 <-> 12,12 <-> 8,7 <-> 6,2 <-> 1,10 <-> 14,,,,,,,,,,,,,32,43,52,61,74,,,,,,,,,,,,
12 <-> 8,7 <-> 6,10 <-> 11,5 <-> 9,2 <-> 3,,,,,,,,,,,,,35,37,39,53,102,,,,,,,,,,,,
9 <-> 10,4 <-> 1,12 <-> 8,14 <-> 13,10 <-> 11,,,,,,,,,,,,,30,30,35,37,67,,,,,,,,,,,,
11 <-> 7,8 <-> 4,2 <-> 3,6 <-> 5,12 <-> 8,,,,,,,,,,,,,32,34,39,70,72,,,,,,,,,,,,
2 <-> 3,11 <-> 7,4 <-> 5,14 <-> 13,6 <-> 5,,,,,,,,,,,,,32,37,40,42,70,,,,,,,,,,,,
5 <-> 9,2 <-> 3,6 <-> 5,4 <-> 5,4 <-> 1,,,,,,,,,,,,,30,32,36,48,68,,,,,,,,,,,,
10 <-> 11,14 <-> 13,9 <-> 10,8 <-> 4,11 <-> 7,,,,,,,,,,,,,30,32,62,64,73,,,,,,,,,,,,
11 <-> 7,9 <-> 12,6 <-> 5,4 <-> 1,7 <-> 6,,,,,,,,,,,,,32,37,44,52,61,,,,,,,,,,,,
7 <-> 3,8 <-> 4,5 <-> 9,7 <-> 6,13 <-> 12,,,,,,,,,,,,,37,42,42,102,107,,,,,,,,,,,,
8 <-> 4,2 <-> 3,13 <-> 12,10 <-> 11,4 <-> 5,,,,,,,,,,,,,32,37,42,42,73,,,,,,,,,,,,
2 <-> 3,2 <-> 1,12 <-> 8,8 <-> 4,11 <-> 7,,,,,,,,,,,,,32,38,45,51,53,,,,,,,,,,,,
11 <-> 7,6 <-> 5,9 <-> 12,14 <-> 13,2 <-> 1,,,,,,,,,,,,,32,36,44,58,71,,,,,,,,,,,,
14 <-> 13,5 <-> 9,7 <-> 3,6 <-> 5,12 <-> 8,,,,,,,,,,,,,32,32,38,42,104,,,,,,,,,,,,
7 <-> 3,9 <-> 12,11 <-> 7,12 <-> 8,13 <-> 12,,,,,,,,,,,,,37,38,46,53,100,,,,,,,,,,,,
2 <-> 3,13 <-> 12,9 <-> 12,4 <-> 5,10 <-> 11,,,,,,,,,,,,,32,37,40,45,53,,,,,,,,,,,,
8 <-> 4,13 <-> 12,5 <-> 9,6 <-> 5,4 <-> 1,,,,,,,,,,,,,32,37,37,45,67,,,,,,,,,,,,
9 <-> 12,11 <-> 7,14 <-> 13,13 <-> 12,12 <-> 8,,,,,,,,,,,,,32,37,47,56,93,,,,,,,,,,,,
12 <-> 8,11 <-> 7,10 <-> 11,8 <-> 4,2 <-> 3,,,,,,,,,,,,,35,37,44,50,55,,,,,,,,,,,,
14 <-> 13,2 <-> 3,12 <-> 8,4 <-> 1,9 <-> 10,,,,,,,,,,,,,32,34,42,59,59,,,,,,,,,,,,
9 <-> 10,12 <-> 8,11 <-> 7,2 <-> 3,6 <-> 5,,,,,,,,,,,,,30,35,40,45,74,,,,,,,,,,,,
None <-> None,9 <-> 10,14 <-> 13,7 <-> 6,10 <-> 14,,,,,,,,,,,,,30,30,32,34,48,,,,,,,,,,,,
9 <-> 12,7 <-> 3,12 <-> 8,8 <-> 4,6 <-> 5,,,,,,,,,,,,,32,38,53,56,72,,,,,,,,,,,,
9 <-> 12,10 <-> 11,2 <-> 1,11 <-> 7,14 <-> 13,,,,,,,,,,,,,32,34,34,43,51,,,,,,,,,,,,
7 <-> 6,9 <-> 12,2 <-> 3,14 <-> 13,7 <-> 3,,,,,,,,,,,,,32,37,41,41,50,,,,,,,,,,,,
7 <-> 6,9 <-> 12,4 <-> 5,11 <-> 7,10 <-> 14,,,,,,,,,,,,,32,37,40,57,89,,,,,,,,,,,,
7 <-> 3,9 <-> 12,10 <-> 11,14 <-> 13,9 <-> 10,,,,,,,,,,,,,37,38,42,48,70,,,,,,,,,,,,
5 <-> 9,6 <-> 5,7 <-> 6,9 <-> 12,11 <-> 7,,,,,,,,,,,,,30,32,41,43,53,,,,,,,,,,,,
None <-> None,11 <-> 7,14 <-> 13,2 <-> 3,4 <-> 5,,,,,,,,,,,,,30,34,36,44,46,,,,,,,,,,,,
9 <-> 10,6 <-> 5,8 <-> 4,10 <-> 11,9 <-> 12,,,,,,,,,,,,,30,30,32,32,51,,,,,,,,,,,,
8 <-> 4,14 <-> 13,12 <-> 8,7 <-> 6,5 <-> 9,,,,,,,,,,,,,30,34,43,45,56,,,,,,,,,,,,
5 <-> 9,2 <-> 1,14 <-> 13,11 <-> 7,13 <-> 12,,,,,,,,,,,,,30,30,32,36,44,,,,,,,,,,,,
7 <-> 6,9 <-> 12,10 <-> 11,11 <-> 7,2 <-> 3,,,,,,,,,,,,,32,37,44,53,83,,,,,,,,,,,,
7 <-> 3,12 <-> 8,8 <-> 4,6 <-> 5,10 <-> 14,,,,,,,,,,,,,37,45,51,53,55,,,,,,,,,,,,
